正常蓄水位_m,重复容量_万kW,装机容量_万kW,多年平均年发电量_亿kWh,年发电量差值_亿kWh,利用小时数_h
115.0,10.0,129.4959,61.7097,1.8757,1875.684
115.0,20.0,139.4959,63.4529,1.7431,1743.1273
115.0,30.0,149.4959,65.1501,1.6972,1697.2288
115.0,40.0,159.4959,66.4965,1.3464,1346.3621
115.0,50.0,169.4959,67.4931,0.9967,996.6766
115.0,60.0,179.4959,68.2013,0.7081,708.1326
