项目,第1年,第2年,第3年,第4年,第5年,第6年,第7年,第8年,第9年,第10年,第11年,正常运行期年值,折算到施工期末_万元,化算到正常运行期年费_万元
总计（万元）,0.0,16092.965257956657,16662.559597286887,15875.490570716327,21657.311641848133,13269.37720481554,20067.93381151325,16769.772963187672,11812.684910754044,5991.902832811089,-22533.514789507914,-11307.188294031163,214391.5566437958,21623.35532555519
总计算支出（万元）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10316.167031524026,,
