正常蓄水位_m,年份,供水期,年保证出力_kW,排位,经验频率_%
100.0,1953,8月至9月,416100.307,1,3.125
100.0,1968,12月至2月,378271.053,2,6.25
100.0,1965,1月至3月,363797.464,3,9.375
100.0,1967,1月至2月,343104.473,4,12.5
100.0,1961,7月至9月,332239.754,5,15.625
100.0,1952,12月至2月,307138.943,6,18.75
100.0,1970,10月至11月,304152.694,7,21.875
100.0,1978,12月至3月,297603.225,8,25.0
100.0,1980,11月至2月,296812.729,9,28.125
100.0,1981,12月至1月,292736.73,10,31.25
100.0,1972,7月至8月,286705.993,11,34.375
100.0,1976,12月至1月,286075.181,12,37.5
100.0,1963,9月至9月,284502.911,13,40.625
100.0,1969,12月至1月,282383.335,14,43.75
100.0,1977,12月至3月,278765.256,15,46.875
100.0,1951,8月至9月,277744.715,16,50.0
100.0,1975,12月至2月,259579.731,17,53.125
100.0,1964,12月至2月,252986.877,18,56.25
100.0,1959,8月至10月,247029.529,19,59.375
100.0,1957,9月至11月,246866.62,20,62.5
100.0,1962,1月至3月,242986.007,21,65.625
100.0,1955,12月至2月,240985.632,22,68.75
100.0,1958,11月至1月,237327.617,23,71.875
100.0,1966,8月至1月,231723.881,24,75.0
100.0,1971,11月至1月,230887.157,25,78.125
100.0,1973,11月至3月,227404.981,26,81.25
100.0,1979,11月至1月,211098.104,27,84.375
100.0,1954,10月至1月,209892.861,28,87.5
100.0,1960,9月至1月,194851.728,29,90.625
100.0,1956,10月至1月,191254.078,30,93.75
100.0,1974,11月至2月,182348.58,31,96.875
