正常蓄水位_m,年份,年调节流量_m3s,下边界切点月份,上边界切点月份,供水期初,供水期末,供水期
100.0,1951,792.681,7月,9月,8月,9月,8月至9月
100.0,1952,864.054,11月,2月,12月,2月,12月至2月
100.0,1953,1190.581,7月,9月,8月,9月,8月至9月
100.0,1954,567.74,9月,1月,10月,1月,10月至1月
100.0,1955,685.987,11月,2月,12月,2月,12月至2月
100.0,1956,521.04,9月,1月,10月,1月,10月至1月
100.0,1957,715.287,8月,11月,9月,11月,9月至11月
100.0,1958,630.854,10月,1月,11月,1月,11月至1月
100.0,1959,675.854,7月,10月,8月,10月,8月至10月
100.0,1960,528.592,8月,1月,9月,1月,9月至1月
100.0,1961,895.954,6月,9月,7月,9月,7月至9月
100.0,1962,687.12,12月,3月,1月,3月,1月至3月
100.0,1963,801.861,8月,9月,9月,9月,9月至9月
100.0,1964,698.92,11月,2月,12月,2月,12月至2月
100.0,1965,1006.754,12月,3月,1月,3月,1月至3月
100.0,1966,609.794,7月,1月,8月,1月,8月至1月
100.0,1967,953.781,12月,2月,1月,2月,1月至2月
100.0,1968,988.087,11月,2月,12月,2月,12月至2月
100.0,1969,775.481,11月,1月,12月,1月,12月至1月
100.0,1970,820.481,9月,11月,10月,11月,10月至11月
100.0,1971,628.754,10月,1月,11月,1月,11月至1月
100.0,1972,782.281,6月,8月,7月,8月,7月至8月
100.0,1973,631.732,10月,3月,11月,3月,11月至3月
100.0,1974,511.14,10月,2月,11月,2月,11月至2月
100.0,1975,719.62,11月,2月,12月,2月,12月至2月
100.0,1976,778.931,11月,1月,12月,1月,12月至1月
100.0,1977,747.815,11月,3月,12月,3月,12月至3月
100.0,1978,831.065,11月,3月,12月,3月,12月至3月
100.0,1979,580.82,10月,1月,11月,1月,11月至1月
100.0,1980,804.29,10月,2月,11月,2月,11月至2月
100.0,1981,785.281,11月,1月,12月,1月,12月至1月
