正常蓄水位_m,洪水标准,序号,时间_h,时间标识,入库流量_m3s,出库流量_m3s,库水位_m,库容_亿m3,运行方式
100.0,5%,0,0.0,7-10-0,4980.0,4980.0,94.92456103049912,14.024628794633125,起调
100.0,5%,1,5.0,7-10-5,5530.0,5530.0,94.92456103049912,14.024628794633125,来量小于汛限泄能-来多少泄多少
100.0,5%,2,10.0,7-10-10,6900.0,6900.0,94.92456103049912,14.024628794633125,来量小于汛限泄能-来多少泄多少
100.0,5%,3,15.0,7-10-15,9090.0,9090.0,94.92456103049912,14.024628794633125,来量小于汛限泄能-来多少泄多少
100.0,5%,4,20.0,7-10-20,10200.0,10200.0,94.92456103049912,14.024628794633125,来量小于汛限泄能-来多少泄多少
100.0,5%,5,25.0,7-11-1,9980.0,9980.0,94.92456103049912,14.024628794633125,来量小于汛限泄能-来多少泄多少
100.0,5%,6,30.0,7-11-6,9610.0,9610.0,94.92456103049912,14.024628794633125,来量小于汛限泄能-来多少泄多少
100.0,5%,7,35.0,7-11-11,9320.0,9320.0,94.92456103049912,14.024628794633125,来量小于汛限泄能-来多少泄多少
100.0,5%,8,40.0,7-11-16,9060.0,9060.0,94.92456103049912,14.024628794633125,来量小于汛限泄能-来多少泄多少
100.0,5%,9,45.0,7-11-21,8450.0,8450.0,94.92456103049912,14.024628794633125,来量小于汛限泄能-来多少泄多少
100.0,5%,10,50.0,7-12-2,7760.0,7760.0,94.92456103049912,14.024628794633125,来量小于汛限泄能-来多少泄多少
100.0,5%,11,55.0,7-12-7,9380.0,9380.0,94.92456103049912,14.024628794633125,来量小于汛限泄能-来多少泄多少
100.0,5%,12,60.0,7-12-12,13200.0,13200.0,94.92456103049912,14.024628794633125,来量小于汛限泄能-来多少泄多少
100.0,5%,13,65.0,7-12-17,15500.0,13752.244095649103,95.1033494266998,14.181926825610475,闸门全开自由泄流
100.0,5%,14,70.0,7-12-22,16400.0,14459.182295344559,95.48067566418922,14.513898449353674,闸门全开自由泄流
100.0,5%,15,75.0,7-13-3,17600.0,15288.659412685824,95.91565434654397,14.89659269408939,闸门全开自由泄流
100.0,5%,16,80.0,7-13-8,19000.0,16288.200940266985,96.42950132166011,15.34867526279656,闸门全开自由泄流
100.0,5%,17,85.0,7-13-13,20400.0,17441.571471133342,97.00954278982825,15.85899574649089,闸门全开自由泄流
100.0,5%,18,90.0,7-13-18,22100.0,18754.373277447852,97.65442227803982,16.426360720219424,闸门全开自由泄流
100.0,5%,19,95.0,7-13-23,23500.0,20000.0,98.3547023474075,17.042467125249118,下游防洪标准-控制安全泄量
100.0,5%,20,100.0,7-14-4,24500.0,20000.0,99.1730701582736,17.76246712524912,下游防洪标准-控制安全泄量
100.0,5%,21,105.0,7-14-9,25300.0,20000.0,100.10397625555272,18.64446712524912,下游防洪标准-控制安全泄量
100.0,5%,22,110.0,7-14-14,24500.0,20000.0,100.69767577090005,19.52646712524912,下游防洪标准-控制安全泄量
100.0,5%,23,115.0,7-14-19,23100.0,20000.0,101.15809580321023,20.210467125249117,下游防洪标准-控制安全泄量
100.0,5%,24,120.0,7-14-24,21100.0,20000.0,101.41253845264481,20.588467125249117,下游防洪标准-控制安全泄量
100.0,5%,25,125.0,7-15-5,18500.0,20000.0,101.38830581936531,20.55246712524912,下游防洪标准-控制安全泄量
100.0,5%,26,130.0,7-15-10,16400.0,20000.0,101.07933974505191,20.09346712524912,下游防洪标准-控制安全泄量
100.0,5%,27,135.0,7-15-15,15100.0,20000.0,100.56439628786289,19.32846712524912,下游防洪标准-控制安全泄量
100.0,5%,28,140.0,7-15-20,14000.0,20000.0,99.83799400460232,18.347467125249118,下游防洪标准-控制安全泄量
100.0,5%,29,145.0,7-16-1,12900.0,20000.0,98.49791671430907,17.16846712524912,下游防洪标准-控制安全泄量
100.0,5%,30,150.0,7-16-6,11900.0,17767.9688042952,97.17134568199815,16.00134993102197,闸门全开自由泄流
100.0,5%,31,155.0,7-16-11,11000.0,15638.234518983463,96.09660335425929,15.055791631077314,闸门全开自由泄流
100.0,5%,32,160.0,7-16-16,9930.0,13952.134052326996,95.21068249515301,14.276358459235619,闸门全开自由泄流
