正常蓄水位_m,洪水标准,序号,时间_h,时间标识,入库流量_m3s,出库流量_m3s,库水位_m,库容_亿m3,运行方式
108.0,5%,0,0.0,7-10-0,4980.0,4980.0,106.32161082851208,27.88138504683754,起调
108.0,5%,1,5.0,7-10-5,5530.0,5530.0,106.32161082851208,27.88138504683754,来量小于汛限泄能-来多少泄多少
108.0,5%,2,10.0,7-10-10,6900.0,6900.0,106.32161082851208,27.88138504683754,来量小于汛限泄能-来多少泄多少
108.0,5%,3,15.0,7-10-15,9090.0,9090.0,106.32161082851208,27.88138504683754,来量小于汛限泄能-来多少泄多少
108.0,5%,4,20.0,7-10-20,10200.0,10200.0,106.32161082851208,27.88138504683754,来量小于汛限泄能-来多少泄多少
108.0,5%,5,25.0,7-11-1,9980.0,9980.0,106.32161082851208,27.88138504683754,来量小于汛限泄能-来多少泄多少
108.0,5%,6,30.0,7-11-6,9610.0,9610.0,106.32161082851208,27.88138504683754,来量小于汛限泄能-来多少泄多少
108.0,5%,7,35.0,7-11-11,9320.0,9320.0,106.32161082851208,27.88138504683754,来量小于汛限泄能-来多少泄多少
108.0,5%,8,40.0,7-11-16,9060.0,9060.0,106.32161082851208,27.88138504683754,来量小于汛限泄能-来多少泄多少
108.0,5%,9,45.0,7-11-21,8450.0,8450.0,106.32161082851208,27.88138504683754,来量小于汛限泄能-来多少泄多少
108.0,5%,10,50.0,7-12-2,7760.0,7760.0,106.32161082851208,27.88138504683754,来量小于汛限泄能-来多少泄多少
108.0,5%,11,55.0,7-12-7,9380.0,9380.0,106.32161082851208,27.88138504683754,来量小于汛限泄能-来多少泄多少
108.0,5%,12,60.0,7-12-12,13200.0,13200.0,106.32161082851208,27.88138504683754,来量小于汛限泄能-来多少泄多少
108.0,5%,13,65.0,7-12-17,15500.0,15411.815699009649,106.32695317298969,27.88932163379348,闸门全开自由泄流
108.0,5%,14,70.0,7-12-22,16400.0,15514.515426012715,106.38593957505347,27.97695183269944,闸门全开自由泄流
108.0,5%,15,75.0,7-13-3,17600.0,15799.058762345154,106.54868750417826,28.218730156207222,闸门全开自由泄流
108.0,5%,16,80.0,7-13-8,19000.0,16281.644438209796,106.82247365980356,28.625466869004168,闸门全开自由泄流
108.0,5%,17,85.0,7-13-13,20400.0,16948.332162553466,107.19626344560683,29.1807689747935,闸门全开自由泄流
108.0,5%,18,90.0,7-13-18,22100.0,17798.704795479814,107.66595022102865,29.878535648360163,闸门全开自由泄流
108.0,5%,19,95.0,7-13-23,23500.0,18803.03317518504,108.21107918060483,30.688379230706534,闸门全开自由泄流
108.0,5%,20,100.0,7-14-4,24500.0,19864.06894043675,108.7764809100253,31.528340039933582,闸门全开自由泄流
108.0,5%,21,105.0,7-14-9,25300.0,20000.0,109.37841534416685,32.42257383529427,下游防洪标准-控制安全泄量
108.0,5%,22,110.0,7-14-14,24500.0,20000.0,109.97211485951419,33.30457383529428,下游防洪标准-控制安全泄量
108.0,5%,23,115.0,7-14-19,23100.0,20000.0,110.26770563483493,33.988573835294275,下游防洪标准-控制安全泄量
108.0,5%,24,120.0,7-14-24,21100.0,20000.0,110.42518594979556,34.366573835294275,下游防洪标准-控制安全泄量
108.0,5%,25,125.0,7-15-5,18500.0,20000.0,110.41018782456122,34.330573835294274,下游防洪标准-控制安全泄量
108.0,5%,26,130.0,7-15-10,16400.0,20000.0,110.2189617278233,33.87157383529428,下游防洪标准-控制安全泄量
108.0,5%,27,135.0,7-15-15,15100.0,20000.0,109.83883537647704,33.10657383529428,下游防洪标准-控制安全泄量
108.0,5%,28,140.0,7-15-20,14000.0,20000.0,109.17849611961113,32.125573835294276,下游防洪标准-控制安全泄量
108.0,5%,29,145.0,7-16-1,12900.0,19215.98876088141,108.43237402211636,31.01713484725607,闸门全开自由泄流
108.0,5%,30,150.0,7-16-6,11900.0,17842.17475461941,107.68975506946866,29.91390013120264,闸门全开自由泄流
108.0,5%,31,155.0,7-16-11,11000.0,16582.168607473155,106.9915921034362,28.876709228864833,闸门全开自由泄流
108.0,5%,32,160.0,7-16-16,9930.0,15402.950972539962,106.32185545695394,27.881748466850762,闸门全开自由泄流
108.0,5%,33,165.0,7-16-21,8840.0,14269.074775887879,105.66139347713693,26.900566149634614,闸门全开自由泄流
108.0,5%,34,170.0,7-17-2,8820.0,8820.0,106.32161082851208,27.88138504683754,来量小于汛限泄能-来多少泄多少
108.0,5%,35,175.0,7-17-7,7570.0,7570.0,106.32161082851208,27.88138504683754,来量小于汛限泄能-来多少泄多少
108.0,5%,36,180.0,7-17-12,7490.0,7490.0,106.32161082851208,27.88138504683754,来量小于汛限泄能-来多少泄多少
108.0,5%,37,185.0,7-17-17,7460.0,7460.0,106.32161082851208,27.88138504683754,来量小于汛限泄能-来多少泄多少
108.0,0.1%,0,0.0,7-10-0,13600.0,13600.0,106.32161082851208,27.88138504683754,起调
108.0,0.1%,1,5.0,7-10-5,15100.0,15100.0,106.32161082851208,27.88138504683754,来量小于汛限泄能-来多少泄多少
108.0,0.1%,2,10.0,7-10-10,18800.0,15727.334842128217,106.50775774876458,28.157924911564642,闸门全开自由泄流
108.0,0.1%,3,15.0,7-10-15,24800.0,16905.122621120452,107.17218883927254,29.14500373962327,闸门全开自由泄流
108.0,0.1%,4,20.0,7-10-20,27600.0,18756.8088566913,108.186207529673,30.651429906082196,闸门全开自由泄流
