正常蓄水位_m,重复容量_万kW,装机容量_万kW,多年平均年发电量_亿kWh,年发电量差值_亿kWh,利用小时数_h
115.0,15.0,137.4964,67.0136,3.2927,2195.1124
115.0,30.0,152.4964,69.4194,2.4058,1603.8529
115.0,45.0,167.4964,72.0498,2.6304,1753.5975
115.0,60.0,182.4964,73.9811,1.9313,1287.5361
115.0,75.0,197.4964,74.9269,0.9458,630.5219
115.0,90.0,212.4964,76.4772,1.5504,1033.567
