正常蓄水位_m,年份,供水期,年保证出力_kW,排位,经验频率_%
115.0,1953,12月至3月,678035.173,1,3.125
115.0,1965,12月至3月,601127.786,2,6.25
115.0,1967,12月至2月,598375.285,3,9.375
115.0,1968,12月至3月,565798.778,4,12.5
115.0,1963,9月至2月,564830.06,5,15.625
115.0,1952,11月至2月,525720.773,6,18.75
115.0,1961,7月至10月,522259.81,7,21.875
115.0,1972,7月至9月,516989.375,8,25.0
115.0,1969,12月至2月,496007.07,9,28.125
115.0,1976,12月至2月,493023.935,10,31.25
115.0,1978,12月至3月,487597.814,11,34.375
115.0,1970,10月至1月,482777.485,12,37.5
115.0,1951,8月至1月,476665.568,13,40.625
115.0,1980,11月至2月,473736.633,14,43.75
115.0,1975,8月至2月,465039.927,15,46.875
115.0,1981,8月至1月,459715.561,16,50.0
115.0,1964,11月至2月,454433.288,17,53.125
115.0,1977,12月至3月,452290.828,18,56.25
115.0,1962,1月至3月,444633.547,19,59.375
115.0,1955,10月至2月,435761.62,20,62.5
115.0,1958,11月至1月,429178.775,21,65.625
115.0,1957,9月至2月,427784.834,22,68.75
115.0,1971,10月至2月,397774.747,23,71.875
115.0,1959,8月至2月,386183.952,24,75.0
115.0,1973,11月至3月,375665.846,25,78.125
115.0,1966,8月至1月,364918.651,26,81.25
115.0,1979,10月至2月,359068.708,27,84.375
115.0,1954,10月至2月,347280.446,28,87.5
115.0,1956,9月至1月,336857.93,29,90.625
115.0,1974,11月至3月,320177.801,30,93.75
115.0,1960,9月至2月,317977.554,31,96.875
