正常蓄水位_m,重复容量_万kW,装机容量_万kW,多年平均年发电量_亿kWh,年发电量差值_亿kWh,利用小时数_h
108.0,15.0,106.4353,49.7352,3.0367,2024.4767
108.0,30.0,121.4353,52.5269,2.7917,1861.1537
108.0,45.0,136.4353,54.7758,2.2488,1499.2159
108.0,60.0,151.4353,56.1805,1.4047,936.4818
108.0,75.0,166.4353,56.6012,0.4207,280.4995
108.0,90.0,181.4353,57.0365,0.4352,290.1546
