正常蓄水位_m,年份,重复容量_万kW,装机容量_万kW,月份,运行方式,月初库容_m3s月,月初水位_m,月末库容_m3s月,月末水位_m,来水量_m3s,发电流量_m3s,平均出力_kW,弃水折算库容_m3s月,月发电量_kWh
108.0,1954,15.0,106.4353,7月,汛限线附近-满发,1004.7046,105.3169,1004.7046,105.3169,9361.7,2332.7804,1038161.793,7026.5805,757858108.8748
108.0,1954,15.0,106.4353,8月,低于防破坏线-保证出力,1004.7046,105.3169,1004.7046,105.3169,5366.7,580.4749,270220.5137,4783.8859,197260974.9768
108.0,1954,15.0,106.4353,9月,优化区-枚举月末库容,1004.7046,105.3169,1156.472,108.0,868.0,716.2326,339806.3993,0.0,248058671.4782
108.0,1954,15.0,106.4353,10月,低于防破坏线-保证出力,1156.472,108.0,1131.1774,107.5528,546.3,568.6354,276737.775,0.0,202018575.75
108.0,1954,15.0,106.4353,11月,低于防破坏线-保证出力,1131.1774,107.5528,954.1154,104.4225,407.7,587.9599,276737.775,0.0,202018575.75
108.0,1954,15.0,106.4353,12月,低于防破坏线-保证出力,954.1154,104.4225,751.7589,100.845,423.7,626.5033,276737.775,0.0,202018575.75
108.0,1954,15.0,106.4353,1月,低于防破坏线-保证出力,751.7589,100.845,456.6556,92.6169,407.7,705.2374,276737.775,0.0,202018575.75
108.0,1954,15.0,106.4353,2月,低于防破坏线-保证出力,456.6556,92.6169,321.7512,87.6,596.4,731.3044,246968.5581,0.0,180287047.4103
108.0,1954,15.0,106.4353,3月,低于防破坏线-保证出力,321.7512,87.6,743.3274,100.696,1160.3,740.5452,276737.775,0.0,202018575.75
108.0,1955,15.0,106.4353,4月,辅助线3区,743.3274,100.696,321.7512,87.6,1511.0,1932.5762,695615.9721,0.0,507799659.6101
108.0,1955,15.0,106.4353,5月,低于防破坏线-保证出力,321.7512,87.6,1004.7046,105.3169,5308.7,652.3648,266742.3935,3971.0427,194721947.2877
108.0,1955,15.0,106.4353,6月,汛限线附近-满发,1004.7046,105.3169,1004.7046,105.3169,5540.7,2332.7804,1038161.793,3205.5805,757858108.8748
108.0,1955,15.0,106.4353,7月,汛限线附近-满发,1004.7046,105.3169,321.7512,87.6,1677.0,2359.9534,918195.9099,0.0,670283014.2442
108.0,1955,15.0,106.4353,8月,低于防破坏线-保证出力,321.7512,87.6,1004.7046,105.3169,1975.3,652.3648,266742.3935,637.6427,194721947.2877
108.0,1955,15.0,106.4353,9月,优化区-枚举月末库容,1004.7046,105.3169,819.2111,102.0375,901.3,1086.7935,482471.7,0.0,352204341.0337
108.0,1955,15.0,106.4353,10月,低于防破坏线-保证出力,819.2111,102.0375,599.9915,96.8961,439.0,659.6149,276737.775,0.0,202018575.75
108.0,1955,15.0,106.4353,11月,低于防破坏线-保证出力,599.9915,96.8961,1156.472,108.0,1190.0,620.9804,276737.775,12.539,202018575.75
108.0,1955,15.0,106.4353,12月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,452.0,452.0,221831.1692,0.0,161936753.5385
108.0,1955,15.0,106.4353,1月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,511.0,511.0,250129.9141,0.0,182594837.2949
108.0,1955,15.0,106.4353,2月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,609.4,609.4,297177.0789,0.0,216939267.5824
108.0,1955,15.0,106.4353,3月,优化区-枚举月末库容,1156.472,108.0,886.6633,103.23,915.3,1185.1087,544237.1857,0.0,397293145.5963
108.0,1956,15.0,106.4353,4月,汛限线附近-满发,886.6633,103.23,760.1904,100.9941,2433.0,2563.1897,1064353.0,0.0,776977690.0
108.0,1956,15.0,106.4353,5月,汛限线附近-满发,760.1904,100.9941,1004.7046,105.3169,6085.0,2435.8781,1037004.2664,3402.2686,757013114.5024
108.0,1956,15.0,106.4353,6月,汛限线附近-满发,1004.7046,105.3169,1004.7046,105.3169,2780.7,2332.7804,1038161.793,445.5805,757858108.8748
108.0,1956,15.0,106.4353,7月,汛限线附近-满发,1004.7046,105.3169,321.7512,87.6,922.7,1605.6534,636585.2188,0.0,464707209.6906
108.0,1956,15.0,106.4353,8月,低于防破坏线-保证出力,321.7512,87.6,970.9785,104.7206,1335.0,685.3235,276737.775,0.0,202018575.75
108.0,1956,15.0,106.4353,9月,低于防破坏线-保证出力,970.9785,104.7206,954.1154,104.4225,588.3,603.2243,276737.775,0.0,202018575.75
108.0,1956,15.0,106.4353,10月,低于防破坏线-保证出力,954.1154,104.4225,709.6013,100.0997,387.0,631.0397,276737.775,0.0,202018575.75
108.0,1956,15.0,106.4353,11月,低于防破坏线-保证出力,709.6013,100.0997,431.361,91.8617,441.3,721.3193,276737.775,0.0,202018575.75
108.0,1956,15.0,106.4353,12月,低于防破坏线-保证出力,431.361,91.8617,321.7512,87.6,330.3,439.9098,149550.8019,0.0,109172085.4063
108.0,1956,15.0,106.4353,1月,低于防破坏线-保证出力,321.7512,87.6,321.7512,87.6,440.0,440.0,139760.9231,0.0,102025473.8462
108.0,1956,15.0,106.4353,2月,低于防破坏线-保证出力,321.7512,87.6,321.7512,87.6,869.0,869.0,269504.9754,0.0,196738632.0308
