正常蓄水位_m,洪水标准,序号,时间_h,时间标识,入库流量_m3s,出库流量_m3s,库水位_m,库容_亿m3,运行方式
115.0,5%,0,0.0,7-10-0,4980.0,4980.0,114.67791380566086,44.574396507727776,起调
115.0,5%,1,5.0,7-10-5,5530.0,5530.0,114.67791380566086,44.574396507727776,来量小于汛限泄能-来多少泄多少
115.0,5%,2,10.0,7-10-10,6900.0,6900.0,114.67791380566086,44.574396507727776,来量小于汛限泄能-来多少泄多少
115.0,5%,3,15.0,7-10-15,9090.0,9090.0,114.67791380566086,44.574396507727776,来量小于汛限泄能-来多少泄多少
115.0,5%,4,20.0,7-10-20,10200.0,10200.0,114.67791380566086,44.574396507727776,来量小于汛限泄能-来多少泄多少
115.0,5%,5,25.0,7-11-1,9980.0,9980.0,114.67791380566086,44.574396507727776,来量小于汛限泄能-来多少泄多少
115.0,5%,6,30.0,7-11-6,9610.0,9610.0,114.67791380566086,44.574396507727776,来量小于汛限泄能-来多少泄多少
115.0,5%,7,35.0,7-11-11,9320.0,9320.0,114.67791380566086,44.574396507727776,来量小于汛限泄能-来多少泄多少
115.0,5%,8,40.0,7-11-16,9060.0,9060.0,114.67791380566086,44.574396507727776,来量小于汛限泄能-来多少泄多少
115.0,5%,9,45.0,7-11-21,8450.0,8450.0,114.67791380566086,44.574396507727776,来量小于汛限泄能-来多少泄多少
115.0,5%,10,50.0,7-12-2,7760.0,7760.0,114.67791380566086,44.574396507727776,来量小于汛限泄能-来多少泄多少
115.0,5%,11,55.0,7-12-7,9380.0,9380.0,114.67791380566086,44.574396507727776,来量小于汛限泄能-来多少泄多少
115.0,5%,12,60.0,7-12-12,13200.0,13200.0,114.67791380566086,44.574396507727776,来量小于汛限泄能-来多少泄多少
115.0,5%,13,65.0,7-12-17,15500.0,15500.0,114.67791380566086,44.574396507727776,来量小于汛限泄能-来多少泄多少
115.0,5%,14,70.0,7-12-22,16400.0,16400.0,114.67791380566086,44.574396507727776,来量小于汛限泄能-来多少泄多少
115.0,5%,15,75.0,7-13-3,17600.0,17600.0,114.67791380566086,44.574396507727776,来量小于汛限泄能-来多少泄多少
115.0,5%,16,80.0,7-13-8,19000.0,18245.60995356248,114.7061998968476,44.64229161240327,闸门全开自由泄流
115.0,5%,17,85.0,7-13-13,20400.0,18431.564678146344,114.80829308645752,44.887345895424005,闸门全开自由泄流
115.0,5%,18,90.0,7-13-18,22100.0,18793.676257117848,115.00607182893548,45.36207421099383,闸门全开自由泄流
115.0,5%,19,95.0,7-13-23,23500.0,19312.356052392246,115.2870604935821,46.03653130274511,闸门全开自由泄流
115.0,5%,20,100.0,7-14-4,24500.0,19925.06366719058,115.61561618442757,46.825163527481486,闸门全开自由泄流
115.0,5%,21,105.0,7-14-9,25300.0,20000.0,115.98588001392923,47.71390779743434,下游防洪标准-控制安全泄量
115.0,5%,22,110.0,7-14-14,24500.0,20000.0,116.3533340821707,48.59590779743434,下游防洪标准-控制安全泄量
115.0,5%,23,115.0,7-14-19,23100.0,20000.0,116.63829846162326,49.27990779743434,下游防洪标准-控制安全泄量
115.0,5%,24,120.0,7-14-24,21100.0,20000.0,116.7957787765839,49.65790779743434,下游防洪标准-控制安全泄量
115.0,5%,25,125.0,7-15-5,18500.0,20000.0,116.78078065134956,49.62190779743434,下游防洪标准-控制安全泄量
115.0,5%,26,130.0,7-15-10,16400.0,20000.0,116.58955455461165,49.162907797434336,下游防洪标准-控制安全泄量
115.0,5%,27,135.0,7-15-15,15100.0,20000.0,116.27084439338181,48.39790779743434,下游防洪标准-控制安全泄量
115.0,5%,28,140.0,7-15-20,14000.0,20000.0,115.86214548074588,47.41690779743434,下游防洪标准-控制安全泄量
115.0,5%,29,145.0,7-16-1,12900.0,19502.85530875934,115.38959747545437,46.28265082033311,闸门全开自由泄流
115.0,5%,30,150.0,7-16-6,11900.0,18583.465717463103,114.89142270908042,45.08688192860573,闸门全开自由泄流
115.0,5%,31,155.0,7-16-11,11000.0,17674.869816677154,114.39054773615187,43.88463173108535,闸门全开自由泄流
115.0,5%,32,160.0,7-16-16,9930.0,9930.0,114.67791380566086,44.574396507727776,来量小于汛限泄能-来多少泄多少
115.0,5%,33,165.0,7-16-21,8840.0,8840.0,114.67791380566086,44.574396507727776,来量小于汛限泄能-来多少泄多少
115.0,5%,34,170.0,7-17-2,8820.0,8820.0,114.67791380566086,44.574396507727776,来量小于汛限泄能-来多少泄多少
115.0,5%,35,175.0,7-17-7,7570.0,7570.0,114.67791380566086,44.574396507727776,来量小于汛限泄能-来多少泄多少
115.0,5%,36,180.0,7-17-12,7490.0,7490.0,114.67791380566086,44.574396507727776,来量小于汛限泄能-来多少泄多少
115.0,5%,37,185.0,7-17-17,7460.0,7460.0,114.67791380566086,44.574396507727776,来量小于汛限泄能-来多少泄多少
115.0,0.1%,0,0.0,7-10-0,13600.0,13600.0,114.67791380566086,44.574396507727776,起调
115.0,0.1%,1,5.0,7-10-5,15100.0,15100.0,114.67791380566086,44.574396507727776,来量小于汛限泄能-来多少泄多少
115.0,0.1%,2,10.0,7-10-10,18800.0,18232.84693007061,114.69917938774061,44.6254402843938,闸门全开自由泄流
115.0,0.1%,3,15.0,7-10-15,24800.0,18689.928466072994,114.94954401467383,45.22639049842161,闸门全开自由泄流
115.0,0.1%,4,20.0,7-10-20,27600.0,19664.251505661694,115.47619643420384,46.490514301019495,闸门全开自由泄流
115.0,0.1%,5,25.0,7-11-1,27600.0,20000.0,116.05871418802231,47.88873166550995,未达防洪高水位-控制安全泄量
115.0,0.1%,6,30.0,7-11-6,27200.0,20000.0,116.6136448216931,49.22073166550995,未达防洪高水位-控制安全泄量
115.0,0.1%,7,35.0,7-11-11,26800.0,22655.258051829675,117.03901947294653,50.241758440913564,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,8,40.0,7-11-16,26200.0,23183.770913572433,117.30752232362644,50.886245833400565,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,9,45.0,7-11-21,25500.0,23552.57789177105,117.49363597902975,51.33297444046509,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,10,50.0,7-12-2,24900.0,23781.39191973093,117.6085977407579,51.60891715714118,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,11,55.0,7-12-7,27400.0,24111.616098073864,117.77383928471764,52.00554643510775,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,12,60.0,7-12-12,29500.0,24720.236787054844,118.0763569868392,52.73167967551013,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,13,65.0,7-12-17,31100.0,25510.1182065856,118.46517007297967,53.6649477261731,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,14,70.0,7-12-22,32600.0,26417.188086770122,118.90659090942205,54.72449015988574,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,15,75.0,7-13-3,35000.0,27486.1312312249,119.42015223989378,55.95719142141703,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,16,80.0,7-13-8,38700.0,28808.99225165692,120.04630998113129,57.52363030784797,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,17,85.0,7-13-13,41400.0,29903.103693619305,120.5567746884494,59.448541672673834,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,18,90.0,7-13-18,45100.0,31219.300688574847,121.1624612899159,61.732525278143875,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,19,95.0,7-13-23,49000.0,32804.11208296801,121.8802986365391,64.43941812852528,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,20,100.0,7-14-4,53700.0,34692.77831428913,122.72049059707949,67.60769799252705,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,21,105.0,7-14-9,57700.0,36872.9380500553,123.67121470190366,71.19278351940854,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,22,110.0,7-14-14,53000.0,38825.57582985957,124.50659451851925,74.34291726988427,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,23,115.0,7-14-19,47000.0,40022.10305710478,125.01143657212835,76.24662616983878,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,24,120.0,7-14-24,41000.0,40450.85328999688,125.19108438264585,76.92406009851923,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,25,125.0,7-15-5,31400.0,39992.73680263144,124.999108167882,76.20013699026624,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,26,130.0,7-15-10,33600.0,39189.335235040286,124.66062491898893,74.92375050701536,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,27,135.0,7-15-15,31000.0,38455.27428079726,124.34928946689433,73.74973565071186,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,28,140.0,7-15-20,30400.0,37634.310675629116,123.9986934166281,72.42767300476292,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,29,145.0,7-16-1,30000.0,36852.700476326325,123.66247898411629,71.1598420012041,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,30,150.0,7-16-6,29600.0,36116.11657091417,123.3434056769094,69.95664846705766,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,31,155.0,7-16-11,29100.0,35413.98907067638,123.03718978477556,68.80193895941017,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,32,160.0,7-16-16,28600.0,34737.10514776874,122.7400197512101,67.68134047983816,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,33,165.0,7-16-21,28100.0,34082.52834162329,122.45076068468383,66.59057346587423,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,34,170.0,7-17-2,27400.0,33437.53506588869,122.16387805544424,65.50876775927469,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,35,175.0,7-17-7,26300.0,32770.817527643645,121.86534143730466,64.38301602593216,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,36,180.0,7-17-12,24900.0,32050.032575967834,121.54025286183256,63.15713951668439,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,37,185.0,7-17-17,22600.0,31222.26562038301,121.16381571484158,61.73763267909611,达到防洪高水位后-闸门全开自由泄流
115.0,0.01%,0,0.0,7-10-0,16800.0,16800.0,114.67791380566086,44.574396507727776,起调
115.0,0.01%,1,5.0,7-10-5,18600.0,18220.086836029153,114.69215876879315,44.608588692734195,闸门全开自由泄流
115.0,0.01%,2,10.0,7-10-10,23200.0,18563.05647719492,114.8802673808726,45.06010579430849,闸门全开自由泄流
115.0,0.01%,3,15.0,7-10-15,32000.0,19734.88108534599,115.51401550378928,46.581291413745426,闸门全开自由泄流
115.0,0.01%,4,20.0,7-10-20,35000.0,20000.0,116.53632967381756,49.03515211606428,未达防洪高水位-控制安全泄量
115.0,0.01%,5,25.0,7-11-1,34700.0,23595.306970080695,117.51513331205857,51.384574488934184,达到防洪高水位后-闸门全开自由泄流
115.0,0.01%,6,30.0,7-11-6,34200.0,25116.792005097817,118.27208498160034,53.20148558133531,达到防洪高水位后-闸门全开自由泄流
115.0,0.01%,7,35.0,7-11-11,33700.0,26377.18362589045,118.88723400187686,54.678027774705036,达到防洪高水位后-闸门全开自由泄流
115.0,0.01%,8,40.0,7-11-16,32900.0,27378.653276989986,119.36882991858751,55.83400245358558,达到防洪高水位后-闸门全开自由泄流
115.0,0.01%,9,45.0,7-11-21,32100.0,28127.124620825176,119.72481874886255,56.68848244289478,达到防洪高水位后-闸门全开自由泄流
115.0,0.01%,10,50.0,7-12-2,31300.0,28653.076816931974,119.97303016855389,57.2842643135799,达到防洪高水位后-闸门全开自由泄流
115.0,0.01%,11,55.0,7-12-7,34900.0,29103.487400855505,120.1843521530512,58.04417353394076,达到防洪高水位后-闸门全开自由泄流
115.0,0.01%,12,60.0,7-12-12,36600.0,29750.928278458094,120.48616407826898,59.18227612274451,达到防洪高水位后-闸门全开自由泄流
115.0,0.01%,13,65.0,7-12-17,37800.0,30482.03693071114,120.82428843349064,60.45730925384982,达到防洪高水位后-闸门全开自由泄流
