正常蓄水位_m,重复容量_万kW,装机容量_万kW,多年平均年发电量_亿kWh,年发电量差值_亿kWh,利用小时数_h
120.0,10.0,151.6928,69.9154,1.5447,1544.6825
120.0,20.0,161.6928,71.343,1.4277,1427.6519
120.0,30.0,171.6928,72.4963,1.1533,1153.2711
120.0,40.0,181.6928,73.6109,1.1146,1114.6055
120.0,50.0,191.6928,74.5189,0.908,908.0181
120.0,60.0,201.6928,75.0047,0.4857,485.7384
