正常蓄水位_m,洪水标准,序号,时间_h,时间标识,入库流量_m3s,出库流量_m3s,库水位_m,库容_亿m3,运行方式
115.0,5%,0,0.0,7-10-0,4980.0,4980.0,114.678,44.574603399999994,起调
115.0,5%,1,5.0,7-10-5,5530.0,5530.0,114.678,44.574603399999994,来量小于汛限泄能-来多少泄多少
115.0,5%,2,10.0,7-10-10,6900.0,6900.0,114.678,44.574603399999994,来量小于汛限泄能-来多少泄多少
115.0,5%,3,15.0,7-10-15,9090.0,9090.0,114.678,44.574603399999994,来量小于汛限泄能-来多少泄多少
115.0,5%,4,20.0,7-10-20,10200.0,10200.0,114.678,44.574603399999994,来量小于汛限泄能-来多少泄多少
115.0,5%,5,25.0,7-11-1,9980.0,9980.0,114.678,44.574603399999994,来量小于汛限泄能-来多少泄多少
115.0,5%,6,30.0,7-11-6,9610.0,9610.0,114.678,44.574603399999994,来量小于汛限泄能-来多少泄多少
115.0,5%,7,35.0,7-11-11,9320.0,9320.0,114.678,44.574603399999994,来量小于汛限泄能-来多少泄多少
115.0,5%,8,40.0,7-11-16,9060.0,9060.0,114.678,44.574603399999994,来量小于汛限泄能-来多少泄多少
115.0,5%,9,45.0,7-11-21,8450.0,8450.0,114.678,44.574603399999994,来量小于汛限泄能-来多少泄多少
115.0,5%,10,50.0,7-12-2,7760.0,7760.0,114.678,44.574603399999994,来量小于汛限泄能-来多少泄多少
115.0,5%,11,55.0,7-12-7,9380.0,9380.0,114.678,44.574603399999994,来量小于汛限泄能-来多少泄多少
115.0,5%,12,60.0,7-12-12,13200.0,13200.0,114.678,44.574603399999994,来量小于汛限泄能-来多少泄多少
115.0,5%,13,65.0,7-12-17,15500.0,15500.0,114.678,44.574603399999994,来量小于汛限泄能-来多少泄多少
115.0,5%,14,70.0,7-12-22,16400.0,16400.0,114.678,44.574603399999994,来量小于汛限泄能-来多少泄多少
115.0,5%,15,75.0,7-13-3,17600.0,17600.0,114.678,44.574603399999994,来量小于汛限泄能-来多少泄多少
115.0,5%,16,80.0,7-13-8,19000.0,18245.756668972106,114.70628059004648,44.642485300288534,闸门全开自由泄流
115.0,5%,17,85.0,7-13-13,20400.0,18431.69309218333,114.80836346359166,44.88751482165908,闸门全开自由泄流
115.0,5%,18,90.0,7-13-18,22100.0,18793.788940649705,115.0061331660408,45.362221438447726,闸门全开自由泄流
115.0,5%,19,95.0,7-13-23,23500.0,19312.45508947071,115.28711389215684,46.036659475344074,闸门全开自由泄流
115.0,5%,20,100.0,7-14-4,24500.0,19925.1507072302,115.61566260598251,46.82527495313982,闸门全开自由泄流
115.0,5%,21,105.0,7-14-9,25300.0,20000.0,115.98592317189063,47.714011389489094,下游防洪标准-控制安全泄量
115.0,5%,22,110.0,7-14-14,24500.0,20000.0,116.3533772401321,48.5960113894891,下游防洪标准-控制安全泄量
115.0,5%,23,115.0,7-14-19,23100.0,20000.0,116.63834161958468,49.2800113894891,下游防洪标准-控制安全泄量
115.0,5%,24,120.0,7-14-24,21100.0,20000.0,116.7958219345453,49.6580113894891,下游防洪标准-控制安全泄量
115.0,5%,25,125.0,7-15-5,18500.0,20000.0,116.78082380931096,49.622011389489096,下游防洪标准-控制安全泄量
115.0,5%,26,130.0,7-15-10,16400.0,20000.0,116.58959771257305,49.1630113894891,下游防洪标准-控制安全泄量
115.0,5%,27,135.0,7-15-15,15100.0,20000.0,116.27088755134321,48.3980113894891,下游防洪标准-控制安全泄量
115.0,5%,28,140.0,7-15-20,14000.0,20000.0,115.86218863870728,47.4170113894891,下游防洪标准-控制安全泄量
115.0,5%,29,145.0,7-16-1,12900.0,19502.930388404067,115.38963781828099,46.28274765521985,闸门全开自由泄流
115.0,5%,30,150.0,7-16-6,11900.0,18583.529980272622,114.8914578272181,45.086966222671606,闸门全开自由泄流
115.0,5%,31,155.0,7-16-11,11000.0,17674.924913406106,114.3905783788663,43.884705282792766,闸门全开自由泄流
115.0,5%,32,160.0,7-16-16,9930.0,9930.0,114.678,44.574603399999994,来量小于汛限泄能-来多少泄多少
115.0,5%,33,165.0,7-16-21,8840.0,8840.0,114.678,44.574603399999994,来量小于汛限泄能-来多少泄多少
115.0,5%,34,170.0,7-17-2,8820.0,8820.0,114.678,44.574603399999994,来量小于汛限泄能-来多少泄多少
115.0,5%,35,175.0,7-17-7,7570.0,7570.0,114.678,44.574603399999994,来量小于汛限泄能-来多少泄多少
115.0,5%,36,180.0,7-17-12,7490.0,7490.0,114.678,44.574603399999994,来量小于汛限泄能-来多少泄多少
115.0,5%,37,185.0,7-17-17,7460.0,7460.0,114.678,44.574603399999994,来量小于汛限泄能-来多少泄多少
115.0,0.1%,0,0.0,7-10-0,13600.0,13600.0,114.678,44.574603399999994,起调
115.0,0.1%,1,5.0,7-10-5,15100.0,15100.0,114.678,44.574603399999994,来量小于汛限泄能-来多少泄多少
115.0,0.1%,2,10.0,7-10-10,18800.0,18232.99361181418,114.6992600822018,44.625633975309,闸门全开自由泄流
115.0,0.1%,3,15.0,7-10-15,24800.0,18690.0574711588,114.94961437217106,45.226559377522186,闸门全开自由泄流
115.0,0.1%,4,20.0,7-10-20,27600.0,19664.365794821846,115.47625766930715,46.49066128363793,闸门全开自由泄流
115.0,0.1%,5,25.0,7-11-1,27600.0,20000.0,116.05877113781776,47.888868362103956,未达防洪高水位-控制安全泄量
115.0,0.1%,6,30.0,7-11-6,27200.0,20000.0,116.61370177148855,49.22086836210396,未达防洪高水位-控制安全泄量
115.0,0.1%,7,35.0,7-11-11,26800.0,22655.362056949092,117.03907252303746,50.241885777046825,达到防洪高水位后-闸门全开自由泄流
115.0,0.1%,8,40.0,7-11-16,26200.0,23183.861344392422,117.30756808328096,50.88635567029929,达到防洪高水位后-闸门全开自由泄流
