正常蓄水位_m,月份,防破坏线有效蓄水量_m3s月,防破坏线库蓄水量_m3s月,防破坏线水位_m,防洪限制水位_m,加大出力辅助线1_m,加大出力辅助线2_m,加大出力辅助线3_m,正常蓄水位_m_线
120.0,4月,190.57572833702625,744.4736483370261,100.71624440168705,120.0,105.53718330126529,110.35812220084352,115.17906110042176,120.0
120.0,5月,0.0,553.8979199999999,95.52,120.0,101.64,107.75999999999999,113.88,120.0
120.0,6月,241.04876715243427,794.9466871524342,101.60856175575339,120.0,106.20642131681504,110.80428087787669,115.40214043893835,120.0
120.0,7月,749.0644366916806,1302.9623566916805,110.36508274724709,120.0,112.77381206043532,115.18254137362354,117.59127068681177,120.0
120.0,8月,1629.53208,2183.43,120.0,120.0,120.0,120.0,120.0,120.0
120.0,9月,1601.4733017923363,2155.371221792336,119.69295407014802,,,,,120.0
120.0,10月,1629.5320799999995,2183.4299999999994,120.0,,,,,120.0
120.0,11月,1549.44627803278,2103.34419803278,119.12362472268124,,,,,120.0
120.0,12月,1351.54158548053,1905.43950548053,116.95796270072694,,,,,120.0
120.0,1月,1095.4120044467254,1649.3099244467253,114.15514838040691,,,,,120.0
120.0,2月,752.1720904214058,1306.0700104214056,110.39908966023665,,,,,120.0
120.0,3月,489.6858671899331,1043.583787189933,106.00423921911344,,,,,120.0
