正常蓄水位_m,年份,年调节流量_m3s,下边界切点月份,上边界切点月份,供水期初,供水期末,供水期
120.0,1951,1092.021,7月,1月,8月,1月,8月至1月
120.0,1952,1188.631,10月,2月,11月,2月,11月至2月
120.0,1953,1521.056,11月,3月,12月,3月,12月至3月
120.0,1954,802.285,9月,2月,10月,2月,10月至2月
120.0,1955,949.66,8月,3月,9月,3月,9月至3月
120.0,1956,763.305,8月,1月,9月,1月,9月至1月
120.0,1957,1014.654,8月,2月,9月,2月,9月至2月
120.0,1958,1012.208,10月,1月,11月,1月,11月至1月
120.0,1959,865.332,7月,2月,8月,2月,8月至2月
120.0,1960,736.871,8月,2月,9月,2月,9月至2月
120.0,1961,1207.331,6月,10月,7月,10月,7月至10月
120.0,1962,1043.856,11月,3月,12月,3月,12月至3月
120.0,1963,1348.504,8月,2月,9月,2月,9月至2月
120.0,1964,1040.206,10月,2月,11月,2月,11月至2月
120.0,1965,1325.345,10月,3月,11月,3月,11月至3月
120.0,1966,799.203,7月,2月,8月,2月,8月至2月
120.0,1967,1354.441,11月,2月,12月,2月,12月至2月
120.0,1968,1281.481,11月,3月,12月,3月,12月至3月
120.0,1969,1210.056,11月,3月,12月,3月,12月至3月
120.0,1970,1118.721,9月,3月,10月,3月,10月至3月
120.0,1971,901.905,9月,2月,10月,2月,10月至2月
120.0,1972,1252.208,6月,9月,7月,9月,7月至9月
120.0,1973,853.737,9月,3月,10月,3月,10月至3月
120.0,1974,770.065,10月,3月,11月,3月,11月至3月
120.0,1975,1004.375,7月,2月,8月,2月,8月至2月
120.0,1976,1174.332,7月,2月,8月,2月,8月至2月
120.0,1977,1033.831,11月,3月,12月,3月,12月至3月
120.0,1978,1086.59,7月,3月,8月,3月,8月至3月
120.0,1979,832.025,9月,2月,10月,2月,10月至2月
120.0,1980,1074.185,10月,3月,11月,3月,11月至3月
120.0,1981,1022.271,7月,1月,8月,1月,8月至1月
