正常蓄水位_m,重复容量_万kW,装机容量_万kW,多年平均年发电量_亿kWh,年发电量差值_亿kWh,利用小时数_h
100.0,15.0,81.313,38.1424,3.2762,2184.1613
100.0,30.0,96.313,41.1813,3.0389,2025.9349
100.0,45.0,111.313,42.6294,1.4482,965.4569
100.0,60.0,126.313,43.8494,1.2199,813.2758
100.0,75.0,141.313,44.5699,0.7205,480.3431
100.0,90.0,156.313,44.8527,0.2828,188.5362
