正常蓄水位_m,年份,重复容量_万kW,装机容量_万kW,月份,运行方式,月初库容_m3s月,月初水位_m,月末库容_m3s月,月末水位_m,来水量_m3s,发电流量_m3s,平均出力_kW,弃水折算库容_m3s月,月发电量_kWh
100.0,1951,15.0,81.313,4月,优化区-枚举月末库容,703.96,100.0,532.2954,94.8751,3909.0,4080.6646,813130.0,0.0,593584900.0
100.0,1951,15.0,81.313,5月,汛限线附近-满发,532.2954,94.8751,532.2954,94.8751,2995.0,2141.577,766934.8662,851.7653,559862452.2938
100.0,1951,15.0,81.313,6月,汛限线附近-满发,532.2954,94.8751,218.3944,82.35,1931.3,2245.201,711952.9303,0.0,519725639.1017
100.0,1951,15.0,81.313,7月,低于防破坏线-保证出力,218.3944,82.35,532.2954,94.8751,2901.7,589.8965,198681.3973,1996.2448,145037420.0221
100.0,1951,15.0,81.313,8月,低于防破坏线-保证出力,532.2954,94.8751,429.2967,91.8001,480.3,581.1374,211405.829,0.0,154326255.17
100.0,1951,15.0,81.313,9月,低于防破坏线-保证出力,429.2967,91.8001,448.9155,92.3858,619.5,599.4433,211405.829,0.0,154326255.17
100.0,1951,15.0,81.313,10月,低于防破坏线-保证出力,448.9155,92.3858,703.96,100.0,1331.0,544.292,211405.829,531.6635,154326255.17
100.0,1951,15.0,81.313,11月,低于防破坏线-保证出力,703.96,100.0,703.96,100.0,673.0,501.3156,211405.829,171.6844,154326255.17
100.0,1951,15.0,81.313,12月,优化区-枚举月末库容,703.96,100.0,703.96,100.0,1160.0,1160.0,477677.027,0.0,348704229.7297
100.0,1951,15.0,81.313,1月,优化区-枚举月末库容,703.96,100.0,703.96,100.0,658.7,658.7,275874.8238,0.0,201388621.3521
100.0,1951,15.0,81.313,2月,优化区-枚举月末库容,703.96,100.0,414.5826,91.3608,1127.7,1417.0774,527324.526,0.0,384946903.964
100.0,1951,15.0,81.313,3月,优化区-枚举月末库容,414.5826,91.3608,703.96,100.0,2568.6,2279.2226,813130.0,0.0,593584900.0
100.0,1952,15.0,81.313,4月,优化区-枚举月末库容,703.96,100.0,532.2954,94.8751,2001.0,2172.6646,813130.0,0.0,593584900.0
100.0,1952,15.0,81.313,5月,汛限线附近-满发,532.2954,94.8751,532.2954,94.8751,5399.3,2141.577,766934.8662,3256.0653,559862452.2938
100.0,1952,15.0,81.313,6月,汛限线附近-满发,532.2954,94.8751,532.2954,94.8751,3781.3,2141.577,766934.8662,1638.0653,559862452.2938
100.0,1952,15.0,81.313,7月,汛限线附近-满发,532.2954,94.8751,532.2954,94.8751,3677.0,2141.577,766934.8662,1533.7653,559862452.2938
100.0,1952,15.0,81.313,8月,低于防破坏线-保证出力,532.2954,94.8751,532.2954,94.8751,4378.3,529.43,199985.699,3847.2124,145989560.2646
100.0,1952,15.0,81.313,9月,低于防破坏线-保证出力,532.2954,94.8751,703.96,100.0,2768.3,529.43,211405.829,2067.2055,154326255.17
100.0,1952,15.0,81.313,10月,优化区-枚举月末库容,703.96,100.0,703.96,100.0,2659.7,2659.7,813130.0,0.0,593584900.0
