项目,第1年,第2年,第3年,第4年,第5年,第6年,第7年,第8年,第9年,第10年,第11年,正常运行期年值,折算到施工期末_万元,化算到正常运行期年费_万元
总计（万元）,0.0,19469.89317279025,20026.731987416013,20181.05178690557,27453.3954098651,17577.080534694516,24703.738698640558,16583.185343028283,14972.040791527,8614.310397637584,-19858.85338719877,-11107.28364439124,271082.6784788475,27341.175049586458
总计算支出（万元）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16233.891405195218,,
