正常蓄水位_m,年份,重复容量_万kW,装机容量_万kW,月份,运行方式,月初库容_m3s月,月初水位_m,月末库容_m3s月,月末水位_m,来水量_m3s,发电流量_m3s,平均出力_kW,弃水折算库容_m3s月,月发电量_kWh
120.0,1951,5.0,150.1892,4月,汛限线附近-满发,2183.43,120.0,2183.43,120.0,3909.0,2649.8265,1501892.0,1259.1735,1096381160.0
120.0,1951,5.0,150.1892,5月,汛限线附近-满发,2183.43,120.0,2183.43,120.0,2995.0,2649.8265,1501892.0,345.1735,1096381160.0
120.0,1951,5.0,150.1892,6月,汛限线附近-满发,2183.43,120.0,1228.7546,109.2779,1931.3,2886.941,1501892.0,0.0,1096381160.0
120.0,1951,5.0,150.1892,7月,低于防破坏线-保证出力,1228.7546,109.2779,2183.43,120.0,2901.7,771.9854,418795.616,1175.0392,305720799.68
120.0,1951,5.0,150.1892,8月,低于防破坏线-保证出力,2183.43,120.0,1936.5312,117.2982,480.3,726.8318,418795.616,0.0,305720799.68
120.0,1951,5.0,150.1892,9月,低于防破坏线-保证出力,1936.5312,117.2982,1804.8518,115.8572,619.5,750.2405,418795.616,0.0,305720799.68
120.0,1951,5.0,150.1892,10月,低于防破坏线-保证出力,1804.8518,115.8572,2183.43,120.0,1331.0,734.8374,418795.616,217.5844,305720799.68
120.0,1951,5.0,150.1892,11月,优化区-枚举月末库容,2183.43,120.0,2183.43,120.0,673.0,673.0,396110.302,0.0,289160520.46
120.0,1951,5.0,150.1892,12月,优化区-枚举月末库容,2183.43,120.0,2183.43,120.0,1160.0,1160.0,674877.027,0.0,492660229.7297
120.0,1951,5.0,150.1892,1月,优化区-枚举月末库容,2183.43,120.0,2183.43,120.0,658.7,658.7,387853.8238,0.0,283133291.3521
120.0,1951,5.0,150.1892,2月,优化区-枚举月末库容,2183.43,120.0,2183.43,120.0,1127.7,1127.7,656503.5845,0.0,479247616.6899
120.0,1951,5.0,150.1892,3月,优化区-枚举月末库容,2183.43,120.0,2084.6705,118.9193,2568.6,2667.3595,1499155.2647,0.0,1094383343.1988
120.0,1952,5.0,150.1892,4月,汛限线附近-满发,2084.6705,118.9193,1146.455,107.8229,2001.0,2935.5831,1501892.0,0.0,1096381160.0
120.0,1952,5.0,150.1892,5月,辅助线3区,1146.455,107.8229,2183.43,120.0,5399.3,2362.2557,1231117.904,2000.0694,898716069.92
120.0,1952,5.0,150.1892,6月,汛限线附近-满发,2183.43,120.0,2183.43,120.0,3781.3,2649.8265,1501892.0,1131.4735,1096381160.0
120.0,1952,5.0,150.1892,7月,汛限线附近-满发,2183.43,120.0,2183.43,120.0,3677.0,2649.8265,1501892.0,1027.1735,1096381160.0
120.0,1952,5.0,150.1892,8月,低于防破坏线-保证出力,2183.43,120.0,2183.43,120.0,4378.3,712.3525,418795.616,3665.9475,305720799.68
120.0,1952,5.0,150.1892,9月,优化区-枚举月末库容,2183.43,120.0,2166.9701,119.8199,2768.3,2784.7599,1501892.0,0.0,1096381160.0
120.0,1952,5.0,150.1892,10月,低于防破坏线-保证出力,2166.9701,119.8199,2183.43,120.0,2659.7,713.3009,418795.616,1929.9392,305720799.68
120.0,1952,5.0,150.1892,11月,优化区-枚举月末库容,2183.43,120.0,2183.43,120.0,1018.3,1018.3,594259.4357,0.0,433809388.0385
120.0,1952,5.0,150.1892,12月,优化区-枚举月末库容,2183.43,120.0,2183.43,120.0,693.3,693.3,407819.0964,0.0,297707940.3501
120.0,1952,5.0,150.1892,1月,优化区-枚举月末库容,2183.43,120.0,2183.43,120.0,580.3,580.3,342463.987,0.0,249998710.4881
120.0,1952,5.0,150.1892,2月,优化区-枚举月末库容,2183.43,120.0,1771.932,115.497,833.0,1244.498,699012.3609,0.0,510279023.4915
120.0,1952,5.0,150.1892,3月,优化区-枚举月末库容,1771.932,115.497,2002.3709,118.0187,3003.7,2773.2611,1492331.3423,0.0,1089401879.9126
