正常蓄水位_m,年份,重复容量_万kW,装机容量_万kW,月份,运行方式,月初库容_m3s月,月初水位_m,月末库容_m3s月,月末水位_m,来水量_m3s,发电流量_m3s,平均出力_kW,弃水折算库容_m3s月,月发电量_kWh
108.0,1951,15.0,108.5799,4月,优化区-枚举月末库容,1156.472,108.0,1055.3176,106.2117,3909.0,4010.1544,1085799.0,0.0,792633270.0
108.0,1951,15.0,108.5799,5月,汛限线附近-满发,1055.3176,106.2117,1063.7471,106.3607,2995.0,2361.4807,1068954.1943,627.3013,780336561.8754
108.0,1951,15.0,108.5799,6月,优化区-枚举月末库容,1063.7471,106.3607,962.5927,104.5724,1931.3,2032.4544,912500.3137,0.0,666125229.0369
108.0,1951,15.0,108.5799,7月,汛限线附近-满发,962.5927,104.5724,1063.7471,106.3607,2901.7,2399.6419,1068681.9851,403.1152,780137849.1102
108.0,1951,15.0,108.5799,8月,优化区-枚举月末库容,1063.7471,106.3607,1055.3176,106.2117,480.3,488.7295,232346.4524,0.0,169612910.2768
108.0,1951,15.0,108.5799,9月,优化区-枚举月末库容,1055.3176,106.2117,414.673,91.3635,619.5,1260.1446,523343.0693,0.0,382040440.5976
108.0,1951,15.0,108.5799,10月,低于防破坏线-保证出力,414.673,91.3635,1080.6062,106.6588,1331.0,667.4471,283700.635,0.0,207101463.55
108.0,1951,15.0,108.5799,11月,低于防破坏线-保证出力,1080.6062,106.6588,1156.472,108.0,673.0,588.2058,283700.635,8.9284,207101463.55
108.0,1951,15.0,108.5799,12月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,1160.0,1160.0,556557.027,0.0,406286629.7297
108.0,1951,15.0,108.5799,1月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,658.7,658.7,320666.4238,0.0,234086489.3521
108.0,1951,15.0,108.5799,2月,优化区-枚举月末库容,1156.472,108.0,979.4518,104.8704,1127.7,1304.7202,606469.9707,0.0,442723078.6002
108.0,1951,15.0,108.5799,3月,优化区-枚举月末库容,979.4518,104.8704,1156.472,108.0,2568.6,2391.5798,1085354.859,0.0,792309047.0805
108.0,1952,15.0,108.5799,4月,优化区-枚举月末库容,1156.472,108.0,802.4315,101.7409,2001.0,2355.0405,1038227.1022,0.0,757905784.6097
108.0,1952,15.0,108.5799,5月,汛限线附近-满发,802.4315,101.7409,1063.7471,106.3607,5399.3,2468.7048,1068189.3488,2671.4912,779778224.647
108.0,1952,15.0,108.5799,6月,优化区-枚举月末库容,1063.7471,106.3607,1055.3176,106.2117,3781.3,3789.7295,1085799.0,0.0,792633270.0
108.0,1952,15.0,108.5799,7月,汛限线附近-满发,1055.3176,106.2117,1063.7471,106.3607,3677.0,2361.4807,1068954.1943,1309.3013,780336561.8754
108.0,1952,15.0,108.5799,8月,优化区-枚举月末库容,1063.7471,106.3607,1055.3176,106.2117,4378.3,4386.7295,1085799.0,0.0,792633270.0
108.0,1952,15.0,108.5799,9月,优化区-枚举月末库容,1055.3176,106.2117,1148.0425,107.851,2768.3,2675.5751,1085799.0,0.0,792633270.0
108.0,1952,15.0,108.5799,10月,低于防破坏线-保证出力,1148.0425,107.851,1156.472,108.0,2659.7,581.964,283700.635,2069.3064,207101463.55
108.0,1952,15.0,108.5799,11月,低于防破坏线-保证出力,1156.472,108.0,1156.472,108.0,1018.3,581.1933,283700.635,437.1067,207101463.55
108.0,1952,15.0,108.5799,12月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,693.3,693.3,337102.4964,0.0,246084822.3501
108.0,1952,15.0,108.5799,1月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,580.3,580.3,283273.387,0.0,206789572.4881
108.0,1952,15.0,108.5799,2月,优化区-枚举月末库容,1156.472,108.0,633.8409,97.9066,833.0,1355.6311,594139.1664,0.0,433721591.4626
108.0,1952,15.0,108.5799,3月,优化区-枚举月末库容,633.8409,97.9066,1030.029,105.7646,3003.7,2607.5119,1085774.5007,0.0,792615385.5414
108.0,1953,15.0,108.5799,4月,汛限线附近-满发,1030.029,105.7646,1063.7471,106.3607,2478.0,2385.8566,1074928.9996,60.6368,784698169.738
108.0,1953,15.0,108.5799,5月,优化区-枚举月末库容,1063.7471,106.3607,1055.3176,106.2117,3517.3,3525.7295,1085799.0,0.0,792633270.0
108.0,1953,15.0,108.5799,6月,汛限线附近-满发,1055.3176,106.2117,1063.7471,106.3607,2864.3,2361.4807,1068954.1943,496.6013,780336561.8754
108.0,1953,15.0,108.5799,7月,优化区-枚举月末库容,1063.7471,106.3607,810.8611,101.8899,1665.0,1917.886,841273.4634,0.0,614129628.2977
108.0,1953,15.0,108.5799,8月,低于防破坏线-保证出力,810.8611,101.8899,1063.7471,106.3607,875.3,624.4646,283693.0883,0.1608,207095954.4636
108.0,1953,15.0,108.5799,9月,优化区-枚举月末库容,1063.7471,106.3607,321.9481,87.61,1020.3,1762.099,708997.3958,0.0,517568098.968
108.0,1953,15.0,108.5799,10月,低于防破坏线-保证出力,321.9481,87.61,1156.472,108.0,2286.4,669.2069,283700.635,782.6691,207101463.55
108.0,1953,15.0,108.5799,11月,低于防破坏线-保证出力,1156.472,108.0,1156.472,108.0,2395.0,581.1933,283700.635,1813.8067,207101463.55
108.0,1953,15.0,108.5799,12月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,847.6,847.6,410079.1816,0.0,299357802.568
108.0,1953,15.0,108.5799,1月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,1449.3,1449.3,690544.3477,0.0,504097373.8575
