正常蓄水位_m,重复容量_万kW,装机容量_万kW,多年平均年发电量_亿kWh,年发电量差值_亿kWh,利用小时数_h
108.0,15.0,108.5799,53.3107,3.4815,2321.0251
108.0,30.0,123.5799,56.2261,2.9154,1943.6234
108.0,45.0,138.5799,58.6209,2.3948,1596.5428
108.0,60.0,153.5799,60.8139,2.193,1462.0266
108.0,75.0,168.5799,62.0104,1.1964,797.6201
108.0,90.0,183.5799,63.5924,1.582,1054.6835
