正常蓄水位_m,年份,年调节流量_m3s,下边界切点月份,上边界切点月份,供水期初,供水期末,供水期
108.0,1951,959.5,7月,1月,8月,1月,8月至1月
108.0,1952,980.366,11月,2月,12月,2月,12月至2月
108.0,1953,1322.275,11月,3月,12月,3月,12月至3月
108.0,1954,643.26,9月,2月,10月,2月,10月至2月
108.0,1955,802.3,11月,2月,12月,2月,12月至2月
108.0,1956,604.28,8月,1月,9月,1月,9月至1月
108.0,1957,831.6,8月,11月,9月,11月,9月至11月
108.0,1958,747.166,10月,1月,11月,1月,11月至1月
108.0,1959,751.743,7月,2月,8月,2月,8月至2月
108.0,1960,598.38,8月,1月,9月,1月,9月至1月
108.0,1961,1008.55,6月,10月,7月,10月,7月至10月
108.0,1962,803.433,12月,3月,1月,3月,1月至3月
108.0,1963,1117.149,8月,10月,9月,10月,9月至10月
108.0,1964,815.233,11月,2月,12月,2月,12月至2月
108.0,1965,1123.066,12月,3月,1月,3月,1月至3月
108.0,1966,667.95,7月,1月,8月,1月,8月至1月
108.0,1967,1089.4,11月,2月,12月,2月,12月至2月
108.0,1968,1082.7,11月,3月,12月,3月,12月至3月
108.0,1969,947.7,11月,2月,12月,2月,12月至2月
108.0,1970,930.475,9月,1月,10月,1月,10月至1月
108.0,1971,742.8,9月,1月,10月,1月,10月至1月
108.0,1972,956.749,6月,8月,7月,8月,7月至8月
108.0,1973,701.52,10月,3月,11月,3月,11月至3月
108.0,1974,598.375,10月,2月,11月,2月,11月至2月
108.0,1975,835.933,11月,2月,12月,2月,12月至2月
108.0,1976,930.6,11月,2月,12月,2月,12月至2月
108.0,1977,835.05,11月,3月,12月,3月,12月至3月
108.0,1978,918.3,11月,3月,12月,3月,12月至3月
108.0,1979,670.925,9月,1月,10月,1月,10月至1月
108.0,1980,891.525,10月,2月,11月,2月,11月至2月
108.0,1981,889.75,7月,1月,8月,1月,8月至1月
