正常蓄水位_m,年份,供水期,年保证出力_kW,排位,经验频率_%
108.0,1953,12月至3月,553294.379,1,3.125
108.0,1965,1月至3月,472422.266,2,6.25
108.0,1967,12月至2月,468018.113,3,9.375
108.0,1968,12月至3月,459658.696,4,12.5
108.0,1963,9月至10月,422389.567,5,15.625
108.0,1972,7月至8月,418520.395,6,18.75
108.0,1961,7月至10月,418004.833,7,21.875
108.0,1952,12月至2月,404759.267,8,25.0
108.0,1978,12月至3月,388950.845,9,28.125
108.0,1951,8月至1月,383076.123,10,31.25
108.0,1970,10月至1月,380670.167,11,34.375
108.0,1969,12月至2月,377621.76,12,37.5
108.0,1980,11月至2月,376811.018,13,40.625
108.0,1976,12月至2月,375407.218,14,43.75
108.0,1981,8月至1月,372232.206,15,46.875
108.0,1977,12月至3月,356652.882,16,50.0
108.0,1975,12月至2月,351248.342,17,53.125
108.0,1964,12月至2月,341270.947,18,56.25
108.0,1957,9月至11月,338922.827,19,59.375
108.0,1962,1月至3月,332198.851,20,62.5
108.0,1955,12月至2月,330520.094,21,65.625
108.0,1971,10月至1月,320371.014,22,68.75
108.0,1958,11月至1月,319946.167,23,71.875
108.0,1959,8月至2月,315103.805,24,75.0
108.0,1973,11月至3月,298172.143,25,78.125
108.0,1966,8月至1月,296026.9,26,81.25
108.0,1979,10月至1月,291539.152,27,84.375
108.0,1954,10月至2月,273099.749,28,87.5
108.0,1956,9月至1月,257711.568,29,90.625
108.0,1960,9月至1月,255491.143,30,93.75
108.0,1974,11月至2月,249297.614,31,96.875
