,,,5%,0.10%,0.01%
7,10,0,4980,13600,16800
,,5,5530,15100,18600
,,10,6900,18800,23200
,,15,9090,24800,32000
,,20,10200,27600,35000
,11,1,9980,27600,34700
,,6,9610,27200,34200
,,11,9320,26800,33700
,,16,9060,26200,32900
,,21,8450,25500,32100
,12,2,7760,24900,31300
,,7,9380,27400,34900
,,12,13200,29500,36600
,,17,15500,31100,37800
,,22,16400,32600,39700
,13,3,17600,35000,42600
,,8,19000,38700,47000
,,13,20400,41400,50500
,,18,22100,45100,55000
,,23,23500,49000,59600
,14,4,24500,53700,65300
,,9,25300,57700,69300
,,14,24500,53000,64400
,,19,23100,47000,57100
,,24,21100,41000,49900
,15,5,18500,31400,45500
,,10,16400,33600,40800
,,15,15100,31000,37500
,,20,14000,30400,32200
,16,1,12900,30000,36800
,,6,11900,29600,36500
,,11,11000,29100,36200
,,16,9930,28600,35900
,,21,8840,28100,35600
,17,2,8820,27400,34400
,,7,7570,26300,33400
,,12,7490,24900,31200
,,17,7460,22600,29400
