正常蓄水位_m,年份,重复容量_万kW,装机容量_万kW,月份,运行方式,月初库容_m3s月,月初水位_m,月末库容_m3s月,月末水位_m,来水量_m3s,发电流量_m3s,平均出力_kW,弃水折算库容_m3s月,月发电量_kWh
120.0,1951,15.0,160.1892,4月,汛限线附近-满发,2183.43,120.0,2183.43,120.0,3909.0,2834.5744,1601892.0,1074.4256,1169381160.0
120.0,1951,15.0,160.1892,5月,汛限线附近-满发,2183.43,120.0,2183.43,120.0,2995.0,2834.5744,1601892.0,160.4256,1169381160.0
120.0,1951,15.0,160.1892,6月,汛限线附近-满发,2183.43,120.0,932.4761,104.04,1931.3,3176.3663,1601892.0,0.0,1169381160.0
120.0,1951,15.0,160.1892,7月,低于防破坏线-保证出力,932.4761,104.04,2183.43,120.0,2901.7,792.6309,418795.616,858.1152,305720799.68
120.0,1951,15.0,160.1892,8月,低于防破坏线-保证出力,2183.43,120.0,1936.5312,117.2982,480.3,726.8318,418795.616,0.0,305720799.68
120.0,1951,15.0,160.1892,9月,低于防破坏线-保证出力,1936.5312,117.2982,1804.8518,115.8572,619.5,750.2405,418795.616,0.0,305720799.68
120.0,1951,15.0,160.1892,10月,低于防破坏线-保证出力,1804.8518,115.8572,2183.43,120.0,1331.0,734.8374,418795.616,217.5844,305720799.68
120.0,1951,15.0,160.1892,11月,优化区-枚举月末库容,2183.43,120.0,2183.43,120.0,673.0,673.0,396110.302,0.0,289160520.46
120.0,1951,15.0,160.1892,12月,优化区-枚举月末库容,2183.43,120.0,2183.43,120.0,1160.0,1160.0,674877.027,0.0,492660229.7297
120.0,1951,15.0,160.1892,1月,优化区-枚举月末库容,2183.43,120.0,2183.43,120.0,658.7,658.7,387853.8238,0.0,283133291.3521
120.0,1951,15.0,160.1892,2月,优化区-枚举月末库容,2183.43,120.0,2183.43,120.0,1127.7,1127.7,656503.5845,0.0,479247616.6899
120.0,1951,15.0,160.1892,3月,优化区-枚举月末库容,2183.43,120.0,2068.2106,118.7392,2568.6,2683.8194,1505952.4007,0.0,1099345252.4941
120.0,1952,15.0,160.1892,4月,汛限线附近-满发,2068.2106,118.7392,817.2566,102.003,2001.0,3251.0345,1601892.0,0.0,1169381160.0
120.0,1952,15.0,160.1892,5月,辅助线2区,817.2566,102.003,2183.43,120.0,5399.3,1983.2988,1010343.808,2049.8278,737550979.84
120.0,1952,15.0,160.1892,6月,汛限线附近-满发,2183.43,120.0,2183.43,120.0,3781.3,2834.5744,1601892.0,946.7256,1169381160.0
120.0,1952,15.0,160.1892,7月,汛限线附近-满发,2183.43,120.0,2183.43,120.0,3677.0,2834.5744,1601892.0,842.4256,1169381160.0
120.0,1952,15.0,160.1892,8月,低于防破坏线-保证出力,2183.43,120.0,2183.43,120.0,4378.3,712.3525,418795.616,3665.9475,305720799.68
120.0,1952,15.0,160.1892,9月,优化区-枚举月末库容,2183.43,120.0,2101.1304,119.0994,2768.3,2850.5996,1599649.1708,0.0,1167743894.7062
120.0,1952,15.0,160.1892,10月,低于防破坏线-保证出力,2101.1304,119.0994,2183.43,120.0,2659.7,717.1202,418795.616,1860.2802,305720799.68
120.0,1952,15.0,160.1892,11月,优化区-枚举月末库容,2183.43,120.0,2183.43,120.0,1018.3,1018.3,594259.4357,0.0,433809388.0385
120.0,1952,15.0,160.1892,12月,优化区-枚举月末库容,2183.43,120.0,2183.43,120.0,693.3,693.3,407819.0964,0.0,297707940.3501
120.0,1952,15.0,160.1892,1月,优化区-枚举月末库容,2183.43,120.0,2183.43,120.0,580.3,580.3,342463.987,0.0,249998710.4881
120.0,1952,15.0,160.1892,2月,优化区-枚举月末库容,2183.43,120.0,2018.8308,118.1988,833.0,997.5992,574812.1891,0.0,419612898.053
120.0,1952,15.0,160.1892,3月,优化区-枚举月末库容,2018.8308,118.1988,2150.5102,119.6398,3003.7,2872.0206,1595756.981,0.0,1164902596.1478
120.0,1953,15.0,160.1892,4月,汛限线附近-满发,2150.5102,119.6398,1640.2526,114.056,2478.0,2980.5304,1601892.0,0.0,1169381160.0
120.0,1953,15.0,160.1892,5月,汛限线附近-满发,1640.2526,114.056,2183.43,120.0,3517.3,2973.7277,1601892.0,0.3949,1169381160.0
120.0,1953,15.0,160.1892,6月,汛限线附近-满发,2183.43,120.0,2183.43,120.0,2864.3,2834.5744,1601892.0,29.7256,1169381160.0
120.0,1953,15.0,160.1892,7月,汛限线附近-满发,2183.43,120.0,553.8979,95.52,1665.0,3294.5321,1599267.7474,0.0,1167465455.5883
120.0,1953,15.0,160.1892,8月,低于防破坏线-保证出力,553.8979,95.52,553.8979,95.52,875.3,875.3,330311.8937,0.0,241127682.3785
120.0,1953,15.0,160.1892,9月,低于防破坏线-保证出力,553.8979,95.52,553.8979,95.52,1020.3,1020.3,383095.8867,0.0,279659997.3247
120.0,1953,15.0,160.1892,10月,低于防破坏线-保证出力,553.8979,95.52,2002.3709,118.0187,2286.4,834.344,418795.616,0.0,305720799.68
120.0,1953,15.0,160.1892,11月,低于防破坏线-保证出力,2002.3709,118.0187,2183.43,120.0,2395.0,722.9282,418795.616,1491.0127,305720799.68
120.0,1953,15.0,160.1892,12月,优化区-枚举月末库容,2183.43,120.0,2183.43,120.0,847.6,847.6,496534.3816,0.0,362470098.568
120.0,1953,15.0,160.1892,1月,优化区-枚举月末库容,2183.43,120.0,2183.43,120.0,1449.3,1449.3,838372.9477,0.0,612012251.8575
120.0,1953,15.0,160.1892,2月,优化区-枚举月末库容,2183.43,120.0,2183.43,120.0,1085.7,1085.7,632635.8032,0.0,461824136.3416
120.0,1953,15.0,160.1892,3月,优化区-枚举月末库容,2183.43,120.0,1755.4721,115.3169,1072.0,1499.9579,836966.7707,0.0,610985742.5786
120.0,1954,15.0,160.1892,4月,汛限线附近-满发,1755.4721,115.3169,2183.43,120.0,3461.7,2943.026,1601892.0,90.7161,1169381160.0
120.0,1954,15.0,160.1892,5月,汛限线附近-满发,2183.43,120.0,2183.43,120.0,5833.7,2834.5744,1601892.0,2999.1256,1169381160.0
120.0,1954,15.0,160.1892,6月,汛限线附近-满发,2183.43,120.0,2183.43,120.0,6961.0,2834.5744,1601892.0,4126.4256,1169381160.0
120.0,1954,15.0,160.1892,7月,汛限线附近-满发,2183.43,120.0,2183.43,120.0,9361.7,2834.5744,1601892.0,6527.1256,1169381160.0
120.0,1954,15.0,160.1892,8月,低于防破坏线-保证出力,2183.43,120.0,2183.43,120.0,5366.7,712.3525,418795.616,4654.3475,305720799.68
120.0,1954,15.0,160.1892,9月,优化区-枚举月末库容,2183.43,120.0,2166.9701,119.8199,868.0,884.4599,517023.9849,0.0,377427508.9563
120.0,1954,15.0,160.1892,10月,低于防破坏线-保证出力,2166.9701,119.8199,1985.911,117.8386,546.3,724.7288,418795.616,0.0,305720799.68
120.0,1954,15.0,160.1892,11月,低于防破坏线-保证出力,1985.911,117.8386,1640.2526,114.056,407.7,758.0536,418795.616,0.0,305720799.68
120.0,1954,15.0,160.1892,12月,低于防破坏线-保证出力,1640.2526,114.056,1261.6745,109.8599,423.7,808.6501,418795.616,0.0,305720799.68
120.0,1954,15.0,160.1892,1月,低于防破坏线-保证出力,1261.6745,109.8599,767.8769,101.13,407.7,907.9713,418795.616,0.0,305720799.68
120.0,1954,15.0,160.1892,2月,低于防破坏线-保证出力,767.8769,101.13,553.8979,95.52,596.4,810.379,328502.2791,0.0,239806663.7528
120.0,1954,15.0,160.1892,3月,低于防破坏线-保证出力,553.8979,95.52,619.7376,97.4856,1160.3,1093.4725,418795.616,0.0,305720799.68
120.0,1955,15.0,160.1892,4月,低于防破坏线-保证出力,619.7376,97.4856,1195.8348,108.6959,1511.0,941.759,418795.616,0.0,305720799.68
120.0,1955,15.0,160.1892,5月,辅助线3区,1195.8348,108.6959,2183.43,120.0,5308.7,2501.1719,1306117.904,1819.9329,953466069.92
120.0,1955,15.0,160.1892,6月,汛限线附近-满发,2183.43,120.0,2183.43,120.0,5540.7,2834.5744,1601892.0,2706.1256,1169381160.0
120.0,1955,15.0,160.1892,7月,汛限线附近-满发,2183.43,120.0,570.3578,96.0114,1677.0,3297.111,1601892.0,0.0,1169381160.0
120.0,1955,15.0,160.1892,8月,低于防破坏线-保证出力,570.3578,96.0114,1673.1725,114.4163,1975.3,876.2536,418795.616,0.0,305720799.68
120.0,1955,15.0,160.1892,9月,低于防破坏线-保证出力,1673.1725,114.4163,1804.8518,115.8572,901.3,767.3973,418795.616,0.0,305720799.68
120.0,1955,15.0,160.1892,10月,低于防破坏线-保证出力,1804.8518,115.8572,1459.1935,112.0747,439.0,781.9821,418795.616,0.0,305720799.68
120.0,1955,15.0,160.1892,11月,低于防破坏线-保证出力,1459.1935,112.0747,1870.6915,116.5777,1190.0,777.5428,418795.616,0.0,305720799.68
120.0,1955,15.0,160.1892,12月,低于防破坏线-保证出力,1870.6915,116.5777,1557.953,113.1554,452.0,771.3157,418795.616,0.0,305720799.68
120.0,1955,15.0,160.1892,1月,低于防破坏线-保证出力,1557.953,113.1554,1261.6745,109.8599,511.0,814.8919,418795.616,0.0,305720799.68
120.0,1955,15.0,160.1892,2月,低于防破坏线-保证出力,1261.6745,109.8599,998.3158,105.2039,609.4,873.514,418795.616,0.0,305720799.68
120.0,1955,15.0,160.1892,3月,低于防破坏线-保证出力,998.3158,105.2039,998.3158,105.2039,915.3,911.4088,418795.616,0.0,305720799.68
120.0,1956,15.0,160.1892,4月,辅助线1区,998.3158,105.2039,2051.7506,118.559,2433.0,1379.3752,714569.712,0.0,521635889.76
120.0,1956,15.0,160.1892,5月,汛限线附近-满发,2051.7506,118.559,2183.43,120.0,6085.0,2867.0437,1601892.0,3086.2769,1169381160.0
