正常蓄水位_m,重复容量_万kW,装机容量_万kW,多年平均年发电量_亿kWh,年发电量差值_亿kWh,利用小时数_h
120.0,15.0,160.1892,70.691,2.1612,1440.8172
120.0,30.0,175.1892,72.5285,1.8375,1224.999
120.0,45.0,190.1892,73.9646,1.4361,957.3845
120.0,60.0,205.1892,74.9963,1.0317,687.8022
120.0,75.0,220.1892,75.7833,0.7871,524.706
120.0,90.0,235.1892,76.2252,0.4419,294.5808
